Fermata autobus Gerola Ospedale S.Chiara, Trento Italy
Fermata autobus Romagnano Nord, Trento Italy
Fermata autobus Cognola Bivio Civezzano, Trento Italy
46.07701128046271, 11.114111469838443
Fermata autobus Sopramonte Piazza Oveno, Trento Italy
Fermata autobus Roncafort Nord, Trento Italy
Fermata autobus S.Pio X Matteotti, Trento Italy
Fermata autobus Povo S.Agata, Trento Italy
Fermata autobus Gandhi Parco Anna Frank, Trento Italy
Fermata autobus Giusti Pascoli, Trento Italy
Fermata autobus Roncafort Asilo, Trento Italy
Fermata autobus Sanseverino Monte Baldo, Trento Italy
Fermata autobus Villazzano Valnigra, Trento Italy
Fermata autobus Lavis Rosmini Segantini, Trento Italy
Fermata autobus Madonna Bianca Man, Trento Italy
Fermata autobus Mattioli Vittorio Veneto, Trento Italy
Fermata autobus Martignano Formigheta, Trento Italy
Fermata autobus Piazza Dante Pal. Regione, Trento Italy
Fermata autobus Sopramonte Maso Banal, Trento Italy
Fermata autobus Ravina Della Croce, Trento Italy
Fermata autobus Lavis Piazza Mercato, Trento Italy
Fermata autobus Martignano Chiesa, Trento Italy
Fermata autobus Gocciadoro Poliambulatori, Trento Italy
46.05235808506232, 11.112018326934882
46.0789130522304, 11.154055263960629
Fermata autobus Canova Via Della Canova, Trento Italy
Fermata autobus Travai Al Nuoto / Muse, Trento Italy
Fermata autobus Romagnano Rimoni, Trento Italy
Fermata autobus San Lazzaro Ponte Avisio, Trento Italy
Fermata autobus Roncafort Caproni, Trento Italy
Fermata autobus Spini Bregenz, Trento Italy
Fermata autobus Dos Trento Mariano, Trento Italy
Fermata autobus Cognola SVito, Trento Italy
Fermata autobus Ravina Maso Stella, Trento Italy
Fermata autobus Gardolo Stazione Ftm, Trento Italy
Fermata autobus Oberziner Alpini, Trento Italy
46.05643706945629, 11.12854897171729
Fermata autobus Parcheggio Area Camper, Trento Italy
Fermata autobus Travai Piazza Fiera, Trento Italy
Fermata autobus Conci Ferrovia, Trento Italy
Fermata autobus Venezia Cave, Trento Italy
46.07484528665476, 11.125031215855318
Fermata autobus Brennero Ex Scalo Filzi, Trento Italy
Fermata autobus Brescia Divisioni Alpine, Trento Italy
Fermata autobus Caneppele Goio, Trento Italy
Fermata autobus Venezia Port'aquila, Trento Italy
Fermata autobus 3 Nov. Ponte Cavalleggeri, Trento Italy
Fermata autobus Quattro Strade, Trento Italy
46.062177369040135, 11.132910322959967
Fermata autobus Spini Monaco, Trento Italy
Fermata autobus Lavis Stazione Ftm, Trento Italy
Fermata autobus Villazzano Villa Tambosi, Trento Italy
Fermata autobus Ss 349 Pozzata, Trento Italy
Fermata autobus Sanzio Castello, Trento Italy
Fermata autobus Sopramonte Bivio Baselga, Trento Italy
Fermata autobus Maso di Brenz, Trento Italy
Fermata autobus Ravina Masere, Trento Italy
Fermata autobus Solteri Largaiolli, Trento Italy
Fermata autobus Ss 45 Montevideo, Trento Italy
Fermata autobus Mattarello S.Leonardo, Trento Italy
Fermata autobus Gardolo Cimitero, Trento Italy
Fermata autobus Sp 131 Maso Pradiscola, Trento Italy
Fermata autobus Maccani Polizia Locale, Trento Italy
Fermata autobus Parcheggio Zuffo, Trento Italy
Fermata autobus Sp 76 Maregioli, Trento Italy
46.07839773659416, 11.047281547894551
Fermata autobus Menguzzato Al Casteller, Trento Italy
Fermata autobus Gazzadina Al Molar, Trento Italy
Fermata autobus Piave Parco S.Chiara, Trento Italy
Fermata autobus Lamar Sponda Trentina, Trento Italy
Fermata autobus Tavernaro Salet, Trento Italy
Fermata autobus Palazzine Maso S.Antonio, Trento Italy
Fermata autobus Conci De Riccabona, Trento Italy
Fermata autobus Mattarello Torre Franca, Trento Italy
46.070701292138104, 11.176487184483838
Fermata autobus Ghiaie Salisburgo, Trento Italy
Fermata autobus Apuleio Case Degasperi, Trento Italy
Fermata autobus Sp 131 Res. Silvana, Trento Italy
Fermata autobus Povo Polo Sociale Cap., Trento Italy
Fermata autobus Bezzi Filzi, Trento Italy
Fermata autobus Centochiavi Chiocchetti, Trento Italy
Fermata autobus Spini Zona Ind.Le Ftm, Trento Italy
Fermata autobus Brennero Magnete, Trento Italy
Fermata autobus Solteri Nido La Trottola, Trento Italy
Fermata autobus Meano Portoni, Trento Italy
Fermata autobus Crosare Officina, Trento Italy
Fermata autobus Cadine Voltei, Trento Italy
Fermata autobus Piazza Dante Stazione Fs, Trento Italy
Fermata autobus Fersina Campi Da Tennis, Trento Italy
Fermata autobus Asiago Bellevue, Trento Italy
Fermata autobus Martignano Costiole, Trento Italy
Fermata autobus Borino Civ.69, Trento Italy
Fermata autobus Gocciadoro Arcate, Trento Italy
Fermata autobus Lavis Cembra, Trento Italy
Fermata autobus Mesiano Stazione Fs, Trento Italy
Fermata autobus Villazzano Stazione Fs, Trento Italy
46.025528598169785, 11.132778131433485
46.04440967964695, 11.105343615444905
Fermata autobus Villazzano Villa Belfonte, Trento Italy
Fermata autobus Menguzzato Centro Civico, Trento Italy
46.05709461806818, 11.113644567567883
Fermata autobus Bettini Madonna Bianca, Trento Italy
46.108284963393665, 11.142667585269404
46.07409901006881, 11.135258494616405
Fermata autobus Lamar Ftm, Trento Italy
Fermata autobus Martignano Castori, Trento Italy
Fermata autobus Brennero Bren Center, Trento Italy
Fermata autobus Ponte Lodovico, Trento Italy
Fermata autobus Grotta Piazza, Trento Italy
Fermata autobus Missioni Africane, Trento Italy
Fermata autobus Ss 47 Muralta, Trento Italy
Fermata autobus Stella Marighetto, Trento Italy
Fermata autobus Asiago Cernidor, Trento Italy
Fermata autobus Segantini Centa, Trento Italy
Fermata autobus Rsa Angeli Custodi, Trento Italy
Fermata autobus Spini Officine, Trento Italy
Fermata autobus Guardini Centochiavi, Trento Italy
Fermata autobus Vela Scuole S.Vigilio, Trento Italy
Fermata autobus Grazioli Brigata Acqui, Trento Italy
Fermata autobus Degasperi La Clarina, Trento Italy
Fermata autobus Sanseverino Albere/Muse, Trento Italy
Fermata autobus Vicenza Montello, Trento Italy
Fermata autobus Ss 12 Le Caverne, Trento Italy
Fermata autobus Muralta Valsugana, Trento Italy
46.069282600624085, 11.05707279525716
Fermata autobus Giovanelli Osp. S.Camillo, Trento Italy
Fermata autobus Villazzano Marzola, Trento Italy
Fermata autobus Ss 45 S.Giorgio, Trento Italy
Fermata autobus Brennero Marconi, Trento Italy
Fermata autobus Maccani Rotatoria, Trento Italy
Fermata autobus Ss 12 Talvera, Trento Italy
Fermata autobus Vittorio Veneto Lorenzoni, Trento Italy
Fermata autobus Vela Centro, Trento Italy
Fermata autobus Tavernaro Centro, Trento Italy
Fermata autobus Romagnano Piazza Condini, Trento Italy
46.07039593211841, 11.126827827000463
Fermata autobus Grotta Bindesi, Trento Italy
Fermata autobus F.Lli Perini 3 Novembre, Trento Italy
Fermata autobus Stella S.Gaetano, Trento Italy
Fermata autobus Centochiavi Dalla Fior, Trento Italy
Fermata autobus Villazzano Chiesa, Trento Italy
Fermata autobus 3 Nov. Centro S.Chiara, Trento Italy
Fermata autobus Spré Pinara, Trento Italy
Fermata autobus Zambra Ist. D'arte Vittoria, Trento Italy
Fermata autobus S.Lorenzo Funivia, Trento Italy
Fermata autobus Mattarello Ex Stazione, Trento Italy
Fermata autobus Maccani Abondi, Trento Italy
Fermata autobus Ss 12 Pioppeto, Trento Italy
Fermata autobus Spini Pal. Giano, Trento Italy
Fermata autobus SFrancesco Porta Nuova, Trento Italy
46.065177686151394, 11.123200032106139
Fermata autobus Torre Verde Galasso, Trento Italy
Fermata autobus Centa Brennero, Trento Italy
Fermata autobus Dos Trento Apuleio, Trento Italy
Fermata autobus Mattarello Fratte, Trento Italy
Fermata autobus Gazzadina Le Case Nòve, Trento Italy
46.06783864305498, 11.175565367373302
Fermata autobus Ss 45 Scala, Trento Italy
Fermata autobus Adamello Gorizia, Trento Italy
Fermata autobus Gardolo P.Le Neufahrn Nord, Trento Italy
Fermata autobus Rosmini SMaria Maggiore, Trento Italy
Fermata autobus Povo Centro Civico, Trento Italy
Fermata autobus Solteri Piazzina, Trento Italy
Fermata autobus Ravina Piazza, Trento Italy
Fermata autobus Parcheggio Via Lidorno, Trento Italy
Fermata autobus Gramsci Einaudi, Trento Italy
Fermata autobus Piazzale Divisioni Alpine, Trento Italy
Fermata autobus Povo Polo Scientifico Ovest, Trento Italy
Fermata autobus San Rocco Torricelle, Trento Italy
Fermata autobus Al Desert Muredei, Trento Italy
Fermata autobus Muredei Prati, Trento Italy
Fermata autobus Verona Menguzzato, Trento Italy
Fermata autobus Cadine Della Fornas, Trento Italy
Fermata autobus Ravina Case Itea, Trento Italy
Fermata autobus Verona S.Bartolameo, Trento Italy
Fermata autobus San Rocco Piazza, Trento Italy
Fermata autobus Gardolo S.Anna, Trento Italy
Fermata autobus Gazzoletti Piazza Dante, Trento Italy
Fermata autobus Gardolo Piazza, Trento Italy
46.07280770481615, 11.161960598510705
Fermata autobus Segantini Dogana, Trento Italy
Fermata autobus Povo Valoni, Trento Italy
Fermata autobus Mattarello Gotarda, Trento Italy
Fermata autobus Mattarello Pomeranos, Trento Italy
Fermata autobus Sp 76 Via Rossa, Trento Italy
46.06395945698084, 11.150749050717122
Fermata autobus Ravina del Ponte, Trento Italy
Fermata autobus Gardolo 4 Nov. Soprasasso, Trento Italy
Fermata autobus Ghiaie Giardinerie, Trento Italy
